,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
2018-01-01,00 - 01,258.67,258.86,258.86,258.86,258.86,258.86,214.33,258.86,258.86,258.86,258.86,258.86,258.86,258.86,258.86,258.86,258.86
2018-01-01,01 - 02,259.85,259.85,259.85,259.85,259.85,259.85,259.85,259.85,259.85,259.85,259.85,259.85,259.85,259.85,259.85,259.85,259.85
2018-01-01,02 - 03,256.5,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6,256.6
2018-01-01,03 - 04,242.15,242.84,242.84,242.84,242.84,242.84,242.84,242.84,242.84,242.84,242.84,242.84,242.84,242.84,242.84,242.84,242.84
2018-01-01,04 - 05,242.54,243.23,243.23,243.23,243.23,243.23,243.23,243.23,243.23,243.23,243.23,243.23,243.23,243.23,243.23,243.23,243.23
2018-01-01,05 - 06,238.32,177.07,177.07,177.07,177.07,177.07,177.07,177.07,243.43,243.43,243.43,242.54,242.54,242.54,177.07,177.07,177.07
2018-01-01,06 - 07,237.73,174.8,174.8,174.8,174.8,174.8,100.08,100.08,245.59,245.59,245.59,245.59,245.59,245.59,174.8,174.8,174.8
2018-01-01,07 - 08,238.81,175.0,175.0,175.0,175.0,175.0,175.0,175.0,252.77,252.77,252.77,251.78,251.78,251.78,175.0,175.0,175.0
2018-01-01,08 - 09,237.43,194.27,194.27,194.27,194.27,194.27,194.27,194.27,250.51,250.51,250.51,250.51,250.51,250.51,194.27,194.27,194.27
2018-01-01,09 - 10,238.51,203.81,203.81,203.81,203.81,203.81,203.81,203.81,251.1,251.1,251.1,251.1,251.1,251.1,203.81,203.81,203.81
2018-01-01,10 - 11,254.05,243.43,243.43,243.43,243.43,243.43,243.43,243.43,256.31,256.31,256.31,256.31,256.31,256.31,243.43,243.43,243.43
